Owner name,Agency name,Email,Address,Telephone,Telephone 2,Thumbnail image URL
"Mr. Saif Uddin Ahmed, Managing Director",Ababil Overseas Limited,ababiloverseas@hotmail.com,"Karim Chamber (3rd Floor) 99, Motijheel C/A, Dhaka-1000",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_31/OwnerPhoto_Ababil Overseas Limited.png
"Md. Shariful Islam, Proprietor",Ababil Tours And Travels,demo-d11a626b-2550-4128-9936-096348407046@gmail.com,,[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Alhaj Md. Abu Yousuf, Proprietor",Ababil Travels & Tours,ababil358@yahoo.com,"55/A, Siddique Mansion (6th floor)",01705 340626, 01983 294730,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Late MR. BERNARD LEE, MANAGING DIRECTOR",Abc-Air Limited,abc.bernardlee@yahoo.com,"Ahmed Tower (17th Floor), 28-30, Kamal Ataturk Avenue, Banani C/A,",['+8801671187112'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_34/OwnerPhoto_ABC Air Limited.jpg
"Haji Al Amin Chowdhury, Proprietor",ABCO AIR SERVICE,abcoover@yahoo.com,"292, Inner Circular Road Satabdi Center (15th Floor) Suite # 15- F, Fakirapool",01715 050913, 01615 050913,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_35/OwnerPhoto_ABCO AIR SERVICE.jpg
"Mr. Md. Habibur Rahman, Proprietor",Abco Overseas,abco_481@yahoo.com,"House # 55 (B-4th Floor), Road # 6  Block-C",01713 314852, 01841977777,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Md. Abdul Aziz, Managing Partner",Abdul Aziz Travels & Tourism,abdulazizbd72@gmail.com,Rahmania intl Complex (8th Floor),"['01554849993', ' 01840059555', ' 01795827623']",,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_37/OwnerPhoto_Abdul Aziz.JPEG
"Mr. Abdullah Al Harun, Proprietor",Abdullah Travels And Tours,aharun@hotmail.com,"1086, Malibagh Chowdhury Para",['01819501651'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Alhaj Mohd.Shafiqul Islam, Proprietor",Abdur Rahman Travels & Tours,shafiqulislam576@gmail.com,"159, B B Road, Somobay New Market (2nd Floor)",['01763363394'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Mohammed Ali Siddique Khokon, Managing Partner",Abha Air Travels,demo-009b3dee-7468-485c-8655-54b5f29d8492@gmail.com,"116-117, DIT Extension Road G-Net Tower (4th Floor, Room # 4E)",+8801710384588, 01819608626,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr.Liakot Ali Azad, Proprietor",Abid Travel Service,abidtsll@gmail.com,"Malek Mansion,128 Motijheel C/A (3rd Floor)",['01716346962'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Late Nasir Khan, Proprietor",Abir Travels,abirtravels939@gmail.com,"K.S Tower (2nd Floor), 39/4, Shayestha Khan Road, Old Court, Narayanganj",01681856007, 01731560785,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_42/OwnerPhoto_abirtravels.jpg
"Lion Alhaj Abdus Salam (Babu), Proprietor",Ably Tours & Travels,ziazably@yahoo.com,"124, DIT Extension Road, Fakirapool,",01715 017044, 01979858074,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Afsar Uddin, Managing Director",Delete 1231,demo-d6581259-3d21-4af6-8e22-85d5f31ebb1e@gmail.com,,[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mrs. Tilat Shahnaz Shahab, Managing Director",ABN Aviation Ltd.,abn@abnbd.com,"45, Siddeswari Circular Road",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Syed Sadat Ahmed, Managing Director",ABN Travels Limited,demo-6e3fb2c4-5a0a-46f0-a08d-5681c17a2ee4@gmail.com,"45, Siddeswari Circular Road",['01838880084   *'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_46/OwnerPhoto_abn travels ltd.jpeg
"Mr. M. M. Akram, Proprietor",Abrar Tours & Travels (2782),abrartnt@gmail.com,Al-Razi Complex (5th Floor) 166/67,['01819281080'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_47/OwnerPhoto_Abrar Tours & Travels.png
"Mr. Syed Aslam Uddin, Proprietor",Absolute Ambitions Travel Services,aim2try@gmail.com,"Rahman Chamber (4th Floor), 12-13",01711787898, 01811132765,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Md. Ashraf Uddin Sarkar, Proprietor",Abtahe Air Travels,uddinashraf55@yahoo.com,Noakhali Tower (1st Floor) 55/B,['01819254132'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr.Md. Nuru Nabi , Managing Partner",Abudhabi Air Travels,abudhabiairtravels@gmail.com,"Mother Shopping Complex (1st Floor), Nobinagar Road",['01819685116'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_50/OwnerPhoto_Abudhabi Air Travels.jpg
"Mr. Ahmad Hossain, Proprietor",Abyadz Travels & Tours,hajj1034@yahoo.com,"Flat No-A-1/1, First Floor, 743, Shewarapara, Mirpur, Dhaka.",['01730995191'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Syed Mahmud Hasan, Managing Director",Accom Travels & Tours Ltd.,shaharpar@yahoo.com,"Erectors House (5th Floor),18, Kemal Ataturk Avenue",['01713113733'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_52/OwnerPhoto_Accom Travels & Tours Ltd..jpg
"Mr. A.T.M. Khor Shed Alam, Proprietor",Active Global Aviation,activeglobal.agec@gmail.com,"Baitul Khair Tower, 8th Floor, Room No: 804, 48/A-B, Purana Paltan, Dhaka-1000.",['01729092600'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Md. Habibur Rahman, Proprietor",Adar Travels & Tours,miraintltd@yahoo.com,"28/1/C, Rahmania International Complex, Toyanbi Circular Road (3rd Floor), Room # 11",['01711460401'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Professor Md. Abdur Razzak, Proprietor",Addin International,addininternational@yahoo.com,"Grand Azad Center (9th Floor), 55",['01711188780'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. K. M. Mobarak Ullah (Shimul) , Proprietor",Adeb Air Travels & Tours,adebairtravels@gmail.com,"40/1-D, Inner Circular Road (4th Floor)",['01717 316919'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Abdul Awal Shetu, PROPRIETOR",Adib Air Service,adibairservice@yahoo.com,Shawon Tower (7th Floor) 2/C,['01711610689'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr.Abdul Matin Bhuiyan, Proprietor",Adiba Air International,matinbd71@gmail.com,"Ibrahim Manssion, 11 Purana paltan (3rd Floor)",01720512442, 01841512442,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Mulana Mahbubur Rahman , Proprietor",Adil Overseas,adiloverbd@gmail.com,"130, DIT Extension Road Rahmat Bhaban (1st Floor)",01613489449, 01715366998,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. M. A. Maleque, Managing Director",Admire Air Travels Ltd.,admiretravels2009@hotmail.com,"73, Airport Road, Lion Shopping Complex (3rd Floor)",['01819211690'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_60/OwnerPhoto_Admire Air Travels Ltd..jpg
"Mr. S. M. Nur Nabi, Proprietor",Adnan Tours & Travels,puranapaltan@yahoo.com,Paramount Hights (3rd Floor) Box Culvert Road 65/2/1,['01715489363'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_61/OwnerPhoto_Adnan Tours & Travels.png
"Mr. Md. Zhahirul Islam Talukder, Proprietor",Adonis Travel International,adonis@gononet.com,"H-71, New Air Port Road (1st Floor) Amtali",['01819 218471'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Md Emdad Hossain, C.E.O",Delete 1211,demo-8c28117b-e977-4c1f-8fa5-2f16a05c7b10@gmail.com,,[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Jamal Abu Zaeed, Managing Director",Advance Travel Planner Ltd.,advancetravelplanner@yahoo.com,Hasan Plaza (2nd Floor),01711 816399, 01819221426,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Adventure Aviation Limited,",Adventure Aviation Limited,adventureaviationltd@gmail.com,"132, D.I.T Extension Road, Hotel Bakshi (Ground Floor), Fakirapool,",01973075202, 01730461381,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Mohd. Mansur Ali Sarkar, Proprietor",Adventure Tours & Travels,adventuretravels210@gmail.com,"Bashati Horizon (9 th Floor), Suite# 9A, House # 21, Road # 17, Block # C",0172642050, 01715205194,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"MOHAMMAD EHSANUR RAHIM, PROPRIETOR",Aero Mark Tours & Travels,aeromark@gmail.com,"17/1, shangshad avenew (1 st Floor)",['01712158888'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_67/OwnerPhoto_Aero Mark Tours & Travels.jpg
"Shaikh Bashir Ahmed	, Vice-Chairman",Aero Speed International Ltd.,awal@speedyint.com,"Concord Modhumoti Plaza, Plot No-11, Road No-11, Block-G, Banani, Dhaka-1213",['01552480757'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_68/OwnerPhoto_Speedy air int 132.jpg
"Mr. Md. Habib Ullah,",Aero Travel & Tours,aerotrv_tours@yahoo.com,"8/3 (2nd Floor), Topkhana Road",['01712221395'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr.Md.Nurul Alam, Managing Director",Aerodrome Bangladesh Ltd.,aerodromebd@gmail.com,"27, Dilkusha C/A (5th Floor)",['01711530602'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_70/OwnerPhoto_aerodrome 133.jpg
"Mr. Md. Nasser Shahrear Zahedee, Chairman",Aeromate Services Ltd.,info@aeromate.com.bd,"Uday Tower(4th Floor) 57/57-A,",['01833332850'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Md. Shahadat Feroz Sikder, CEO",Aeronet International,aeronetint@gmail.com,"83/B, Siddeshwari Circular Road, Mouchak Tower, 12th floor , Suite-1314, Malibagh Moor, Dhaka-1217",['01711209990'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Syed Rabayyat Akber, Chairman",Aeroways Limited,aeroways@gmail.com,"3/3C, Bijoy Nagar,",['01729211702'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"M A Latif Shahrear Zahedee, Managing Director",Aerowing Aviation Limited,info@aerowing.com.bd,"Uday Tower(4th Floor), 57/57-A, Uday Tower (4th Floor)",['01833332853'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Noor Mohammed Talukder, Proprietor",Delete AF Tours & Travels,pnecod@gmail.com,"177, Shahid Sayed Nazrul Islam Sharani, Mahtab Center, Bijoynagar, Dhaka.",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_75/OwnerPhoto_2213.jpg
"Mr.Kamal Uddin, Proprietor",Afnan Air International,afnanairintl@yahoo.com,"Islam Tower (1st Floor), 65, Naya Paltan",['01817066218'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_76/OwnerPhoto_afnan air int 274.jpg
"Mr. Md. Asraful Alam, Managing Partner",Afnan Aviation,afnanaviation@yahoo.com,"Faruk Orchard Tower (7th Floor), 72, Nayapaltan",['01715933121'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Alhaj Md. Safiq, Partner",Afnan Travels,afnan1337@gmail.com,"178/179, Powro Market (1st Floor)",01715995413, 01767111111,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_78/OwnerPhoto_Afnan Travels.jpg
"Mr. Belayet Hossain Bhuiyan,",Afro Asia Tours & Travels,ahmadexpress1966@gmail.com,"3/7, City Heart Building (12th Floor) 67",01757697503,01715540520,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Tanjidul Islam Chowdhury, Proprietor",Aftab Aviation,aftabaviation@yahoo.com,"70, Naya Paltan (2nd Floor), Dhaka-1000",['01977242471'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_80/OwnerPhoto_Aftab Aviation 130.jpg
"Mr.Aftab Uddin Chowdhury Mukul,",Aftab Travels & Tours,aftabtravels@yahoo.com,"67/1, Paltan China Town, West Tower, 9th Floor(W-10/5), Naya Paltan, Dhaka-1000",01819 221636, 01919 221636,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Md. Mokaraom Kabir, Proprietor",Aftab Travels International,ahgb.bd@gmail.com,"166-167, Al Razi Complex (3rd Floor), Syed Nazrul Islam Sarani, Suite # D-301",01711955988, 01720215813,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr.Md.Ashraf Hossain, Chairman",AHB Travels International Ltd,ahb_travels777@yahoo.com,"Bakaul Mansion 42/1/-Kha Segunbagicha, Dhaka-1000.",01819242267, 01764613742,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Sayeed Ahmed,  Proprietor",Ahmed Airways Services,ahmedairservices@gmail.com,"88, Motijheel C/A, Shadhinata Bhaban (1st Floor)",['01711522930'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr.Ahasanur Rahman Hasan,",Ahnaf Travels & Tours,ahasanurrahman80@gmail.com,"48/A-B, Baitul Khaiyer, Lift-11, Room-1105/A. Purana Paltan,",['01712850650'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Shahidullah Al Mahdi, Managing Partner",Ahsan International,ahsaninternational@yahoo.com,"112, Godagari Road (2nd Floor)",['01711591575'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_86/OwnerPhoto_Ahsan International.jpg
"Mr. Mohammed Mahmudul Hoque,",Ahsan Travels International,mmhoque71@yahoo.com,"Paltan China Tower, Suit # w-7/11, (6th Floor), VIP Road, Naya Paltan, Dhaka-1000",01819 223279, 01715 11165,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Kazi Rafiqul Alam, Chairman",Ahsania Hajj Mission,dambgd@bdonline.com,"Mosjid Complex (2nd Floor), North Gate, 67",['01711545120'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr.Mukter Hossain, Proprietor",AIM Travels,aimtravels10@yahoo.com,"Akram Tower, Room-8 (6th Floor) 199",['01711548990'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Md. Mokshed Ali, Proprietor",Air Asia Tours & Travels,airasiadhaka@yahoo.com,"10/3/6,Toyenbee Circular Road (3 rd Floor)",['01711 593562'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Kazi Mohammed Mozammel Hoque, Director",Air Bangla International Ltd. (CTG),airbangla@live.com,"Hotel Golden Inn. Building 336, Station Road,",['01819310937'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_91/OwnerPhoto_Air Bangla International Ltd..jpg
"Mr. Qamrul Islam, Managing Director",Air Bangla Limited,iqamrul@gmail.com,"Shatabdi Center (Room # 6E), 292, Inner Circular road,","['01713036867', ' 01730368667', ' 01713036867']",,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Md. Atiqur Rahman Dipu, Proprietor",Air Base Travels,airbase03@gmail.com,"115-120, Adamjee Court (2nd Floor)",['01716861899'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Md. Hafizar Rahaman, Proprietor",Air Best,info@airbestbd.com,"Baitul Khayer, Room - 1107, 48/A- B",['01715110052'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Alhai Md. Muslim Miah, Proprietor",Air Birds Express,theairbirdsexpress@yahoo.com,"New 37/1 old 345, Segun Bagicha","['01711463174', '01787733874', '01916276543']",,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Mostak Ahmed, Proprietor",Air Bond Travels,airbond@dhaka.net,Tropicana Tower (3rd Floor) 45,['01819 237948'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_96/OwnerPhoto_Air Bond Travels.png
"Mr. Mohammed Jahir Ahmmed Saker., Proprietor",Air Bridge Travels & Tours,airbridge_bd@yahoo.com,"Room: 243(2nd Floor), 74/B/1, Green Road, R. H. Home Centre, Farmgate, Tejgaon, Dhaka-1215",['01819203318'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_97/OwnerPhoto_Air Bridge travels 141.jpg
"Mr. Abu Baker Muhammed Salim, Proprietor",Air Castle Travels,aircastletravels@gmail.com,"House No- 48, Flat No-3/B, Road-11, Block-C, Banani, Dhaka-1213",['01713303158'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_98/OwnerPhoto_air castle.jpg
"Mr. Mohammad Yousuf, Proprietor",Air Channel International,mm.yousuf62@gmail.com,Karim Chamber (1st Floor) 99,"['01819 225506', ' 01919 225506', ' 01706 314087']",,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_99/OwnerPhoto_Air Channel International.jpg
"Mr. HBM Shoave Rahman , Managing Director",Air Concern International Limited,airconcern@hotmail.com,"Adamjee Court (Annex), Ground Floor 115/116",['+8801819222213'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_100/OwnerPhoto_Air Concern International Limited.jpg
"Late Mr. Md. Mohidul Islam, Proprietor",Air Confidence International Tours & Travels,airconin@citech.net,"G-Nat Tower (8th Floor, Room # 8/D) 116-117",01819 238607, 01920 484923,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_101/OwnerPhoto_Air Confidence International Tours & Travels.png
"Mr. Abdul Hannan, Proprietor",Delete 311,demo-33fd8b77-ed49-4308-80de-6c144d32777d@gmail.com,,[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Md. Abul Kalam Azad, Proprietor",Air Connection Travels & Tours,airctt@gmail.com,"Dhaka Sheraton Hotel, Annex Building-1 (2nd Floor) BSL Office Complex, 1",01730060020, 01675082096,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_103/OwnerPhoto_Air Connection Travels & Tours.png
"Mr. M. Nurul Imran Chisty, Proprietor",Air Continental,aircon@continentalcourierbd.net,"78, Motijheel C/A",01762680000, 01199888080,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_104/OwnerPhoto_Air Continental.jpg
"MR. ABU OBAIDA, Director",Air Cox's International Ltd.,aircoxsintl@yahoo.com,"Kamal Ataturk Tower, Building#22, Flat#3/B, Kamal Ataturk Avenue,",01819241808, 01711829073,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_105/OwnerPhoto_4911ba95-2378-431f-bbd3-7bc32b3e0b94.jpg
"MOHAMMAD ALAL MIAH, PROPRIETOR",AIR DOTCOM TOURS & TRAVELS,alhelalhra@yahoo.com,"VIP Tower (9th Floor), 51/1, Nayapaltan",['01738023777'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_106/OwnerPhoto_AIR DOTCOM TOURS & TRAVELS.jpg
"Mr. Kazi Abdur Rashid, Director",Air Exhibition Ltd.,airexhibition@gmail.com,"Unicorn Plaza, 4th Floor, Suite No. 6/A, 40/2, North Avenue",['01911272499'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_107/OwnerPhoto_Air Exhibition Ltd..jpg
"Mr. Abdul Kashem, proprietor",Air Express International,airexpaess@hotmail.com,"3/4-A, Sabbir Tower (3rd Floor, Room # 404)",['01713037497'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_108/OwnerPhoto_Air Express International.jpg
"Mr. Jalal Ahmed, Proprietor",Air Express Tours & Travels,airexpress1234@gmail.com,"11, Fakirapool (Ground Floor), Hotel Al-Belal, Motijheel Inner Circular Road, Dhaka",01819255792, 01711829676,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_109/OwnerPhoto_air express t tr.jpg
"Mr. Abdul Aziz Milon, null",Air Fantasy,demo-00694e2c-2ae1-4f3b-b455-209c31b91c1d@gmail.com,"3/10, Naya Paltan, Saleh Mansion (3rd Floor) Paltan, Dhaka -1000",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_110/OwnerPhoto_Air Fantasy.png
"Mr. Ahmed Yusuf Walid, Managing Director",Air Galaxy Ltd.,walid@unitedlinkbd.com,"Taj Marriot (5th Floor) 25, Gulshan Avenue",['01713001834'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_111/OwnerPhoto_Air Galaxy ltd 189.jpg
